2026-04-30 15:19:17.876 [background-preinit] INFO  [NO_TRACE] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-04-30 15:19:17.936 [main] INFO  [NO_TRACE] c.s.quickstart.QuickStartApplication - Starting QuickStartApplication using Java 21.0.3 with PID 14688 (D:\code\springAi\quickStart\target\classes started by zhuoqi in D:\code\springAi)
2026-04-30 15:19:17.936 [main] INFO  [NO_TRACE] c.s.quickstart.QuickStartApplication - The following 1 profile is active: "dev"
2026-04-30 15:19:18.151 [main] INFO  [NO_TRACE] c.a.c.n.c.NacosConfigDataLoader - [Nacos Config] Load config[dataId=AgentHelper-dev.yml, group=DEFAULT_GROUP] success
2026-04-30 15:19:18.151 [main] INFO  [NO_TRACE] c.a.c.n.c.NacosConfigDataLoader - [Nacos Config] Load config[dataId=AgentHelper.yml, group=DEFAULT_GROUP] success
2026-04-30 15:19:19.766 [main] INFO  [NO_TRACE] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-04-30 15:19:19.770 [main] INFO  [NO_TRACE] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-04-30 15:19:19.808 [main] INFO  [NO_TRACE] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2026-04-30 15:19:20.087 [main] INFO  [NO_TRACE] o.s.cloud.context.scope.GenericScope - BeanFactory id=dd5e37e6-aca4-3d5b-ad9d-f55a510569ab
2026-04-30 15:19:21.254 [main] INFO  [NO_TRACE] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8881 (http)
2026-04-30 15:19:21.384 [main] INFO  [NO_TRACE] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3231 ms
2026-04-30 15:19:21.471 [main] DEBUG [NO_TRACE] c.s.a.l.web.RequestTraceLogFilter - Filter 'requestTraceLogFilter' configured for use
2026-04-30 15:19:23.039 [main] INFO  [NO_TRACE] c.s.ai.agent.factory.AgentFactory - Agent 创建器加载完成，数量=6
2026-04-30 15:19:23.366 [main] INFO  [NO_TRACE] org.redisson.Version - Redisson 3.38.1
2026-04-30 15:19:23.771 [redisson-netty-1-6] INFO  [NO_TRACE] o.r.connection.ConnectionsHolder - 1 connections initialized for 127.0.0.1/127.0.0.1:6379
2026-04-30 15:19:23.873 [redisson-netty-1-19] INFO  [NO_TRACE] o.r.connection.ConnectionsHolder - 24 connections initialized for 127.0.0.1/127.0.0.1:6379
2026-04-30 15:19:24.864 [main] INFO  [NO_TRACE] c.a.nacos.client.ai.NacosAiService - Nacos client key init properties: 
	serverAddr=127.0.0.1:8848
	namespace=public
	username=nacos
	password=n***s

2026-04-30 15:19:24.865 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9
2026-04-30 15:19:24.869 [main] INFO  [NO_TRACE] c.a.n.c.a.AbstractServerListManager - Load and match ServerListProvider com.alibaba.nacos.client.address.EndpointServerListProvider, match result: false
2026-04-30 15:19:24.870 [main] INFO  [NO_TRACE] c.a.n.c.a.AbstractServerListManager - Load and match ServerListProvider com.alibaba.nacos.client.address.PropertiesListProvider, match result: true
2026-04-30 15:19:24.870 [main] INFO  [NO_TRACE] c.a.n.c.a.AbstractServerListManager - Will use com.alibaba.nacos.client.address.PropertiesListProvider as ServerListProvider
2026-04-30 15:19:24.870 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9] Registry connection listener to current client:com.alibaba.nacos.client.ai.remote.redo.AiGrpcRedoService
2026-04-30 15:19:24.870 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.NamingServerListManager
2026-04-30 15:19:24.872 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
2026-04-30 15:19:24.872 [main] INFO  [NO_TRACE] c.a.n.c.r.client.grpc.GrpcClient - grpc client connection server: 127.0.0.1 ip, serverPort: 9848, grpcTslConfig: {"enableTls":false,"mutualAuthEnable":false,"trustAll":true}
2026-04-30 15:19:24.897 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1777533564882_172.17.0.1_46174
2026-04-30 15:19:24.897 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2026-04-30 15:19:24.897 [com.alibaba.nacos.client.remote.worker.0] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9] Notify connected event to listeners.
2026-04-30 15:19:24.897 [com.alibaba.nacos.client.remote.worker.0] INFO  [NO_TRACE] c.a.n.c.a.r.redo.AiGrpcRedoService - Grpc connection connect
2026-04-30 15:19:24.897 [main] INFO  [NO_TRACE] c.alibaba.nacos.common.remote.client - [f72dbc0f-95d0-466e-84a9-ff55b2e9f0b9] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda/0x0000019a43487918
2026-04-30 15:19:24.898 [main] INFO  [NO_TRACE] c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2026-04-30 15:19:24.898 [main] INFO  [NO_TRACE] c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2026-04-30 15:19:26.255 [main] INFO  [NO_TRACE] o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-04-30 15:19:26.256 [main] INFO  [NO_TRACE] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@7217b4da]]
2026-04-30 15:19:26.257 [main] INFO  [NO_TRACE] o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-04-30 15:19:26.270 [main] INFO  [NO_TRACE] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8881 (http) with context path '/'
2026-04-30 15:19:26.286 [main] INFO  [NO_TRACE] c.s.quickstart.QuickStartApplication - Started QuickStartApplication in 10.439 seconds (process running for 11.945)
2026-04-30 15:19:26.293 [main] INFO  [NO_TRACE] c.a.n.client.config.impl.CacheData - config listener notify warn timeout millis use default 60000 millis 
2026-04-30 15:19:26.293 [main] INFO  [NO_TRACE] c.a.n.client.config.impl.CacheData - nacos.cache.data.init.snapshot = true 
2026-04-30 15:19:26.294 [main] INFO  [NO_TRACE] c.a.n.c.config.impl.ClientWorker - [Config-fixed-f95c5f7f-d08c-4df8-bff2-8d835513e809-127.0.0.1_8848] [subscribe] AgentHelper.yml+DEFAULT_GROUP+f95c5f7f-d08c-4df8-bff2-8d835513e809
2026-04-30 15:19:26.300 [main] INFO  [NO_TRACE] c.a.n.client.config.impl.CacheData - [Config-fixed-f95c5f7f-d08c-4df8-bff2-8d835513e809-127.0.0.1_8848] [add-listener] ok, tenant=f95c5f7f-d08c-4df8-bff2-8d835513e809, dataId=AgentHelper.yml, group=DEFAULT_GROUP, cnt=1
2026-04-30 15:19:26.300 [main] INFO  [NO_TRACE] c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=AgentHelper.yml, group=DEFAULT_GROUP
2026-04-30 15:19:26.301 [main] INFO  [NO_TRACE] c.a.n.c.config.impl.ClientWorker - [Config-fixed-f95c5f7f-d08c-4df8-bff2-8d835513e809-127.0.0.1_8848] [subscribe] AgentHelper-dev.yml+DEFAULT_GROUP+f95c5f7f-d08c-4df8-bff2-8d835513e809
2026-04-30 15:19:26.301 [main] INFO  [NO_TRACE] c.a.n.client.config.impl.CacheData - [Config-fixed-f95c5f7f-d08c-4df8-bff2-8d835513e809-127.0.0.1_8848] [add-listener] ok, tenant=f95c5f7f-d08c-4df8-bff2-8d835513e809, dataId=AgentHelper-dev.yml, group=DEFAULT_GROUP, cnt=1
2026-04-30 15:19:26.301 [main] INFO  [NO_TRACE] c.a.c.n.r.NacosContextRefresher - [Nacos Config] Listening config: dataId=AgentHelper-dev.yml, group=DEFAULT_GROUP
2026-04-30 15:19:26.301 [main] INFO  [NO_TRACE] c.a.c.a.a.c.r.AgentRegistryService - Auto register agent data_analysis_agent into Registry Nacos[127.0.0.1:8848].
2026-04-30 15:19:26.305 [main] INFO  [NO_TRACE] c.a.c.a.a.r.n.s.NacosA2aOperationService - Register agent card data_analysis_agent to Nacos namespace public. 
